filename,original filename,scanid,digit,database name original,contributing team,database name
b00000.png,0_0005.png,5,0,B101DB,Shongborton,training-b
b00001.png,2_0038.png,38,2,B101DB,Shongborton,training-b
b00002.png,5_0037.png,37,5,B101DB,Shongborton,training-b
b00003.png,2_0039.png,39,2,B101DB,Shongborton,training-b
b00004.png,5_0028.png,28,5,B101DB,Shongborton,training-b
b00005.png,5_0011.png,11,5,B101DB,Shongborton,training-b
b00006.png,4_0028.png,28,4,B101DB,Shongborton,training-b
b00007.png,6_0004.png,4,6,B101DB,Shongborton,training-b
b00008.png,9_0017.png,17,9,B101DB,Shongborton,training-b
b00009.png,7_0042.png,42,7,B101DB,Shongborton,training-b
b00010.png,4_0026.png,26,4,B101DB,Shongborton,training-b
b00011.png,1_0017.png,17,1,B101DB,Shongborton,training-b
b00012.png,6_0010.png,10,6,B101DB,Shongborton,training-b
b00013.png,6_0025.png,25,6,B101DB,Shongborton,training-b
b00014.png,8_0021.png,21,8,B101DB,Shongborton,training-b
b00015.png,5_0009.png,9,5,B101DB,Shongborton,training-b
b00016.png,8_0031.png,31,8,B101DB,Shongborton,training-b
b00017.png,6_0023.png,23,6,B101DB,Shongborton,training-b
b00018.png,8_0039.png,39,8,B101DB,Shongborton,training-b
b00019.png,9_0001.png,1,9,B101DB,Shongborton,training-b
b00020.png,1_0004.png,4,1,B101DB,Shongborton,training-b
b00021.png,3_0020.png,20,3,B101DB,Shongborton,training-b
b00022.png,9_0021.png,21,9,B101DB,Shongborton,training-b
b00023.png,0_0029.png,29,0,B101DB,Shongborton,training-b
b00024.png,4_0014.png,14,4,B101DB,Shongborton,training-b
b00025.png,5_0022.png,22,5,B101DB,Shongborton,training-b
b00026.png,2_0006.png,6,2,B101DB,Shongborton,training-b
b00027.png,5_0025.png,25,5,B101DB,Shongborton,training-b
b00028.png,8_0044.png,44,8,B101DB,Shongborton,training-b
b00029.png,7_0033.png,33,7,B101DB,Shongborton,training-b
b00030.png,5_0021.png,21,5,B101DB,Shongborton,training-b
b00031.png,4_0013.png,13,4,B101DB,Shongborton,training-b
b00032.png,3_0010.png,10,3,B101DB,Shongborton,training-b
b00033.png,4_0029.png,29,4,B101DB,Shongborton,training-b
b00034.png,3_0013.png,13,3,B101DB,Shongborton,training-b
b00035.png,6_0033.png,33,6,B101DB,Shongborton,training-b
b00036.png,1_0022.png,22,1,B101DB,Shongborton,training-b
b00037.png,1_0025.png,25,1,B101DB,Shongborton,training-b
b00038.png,9_0025.png,25,9,B101DB,Shongborton,training-b
b00039.png,0_0009.png,9,0,B101DB,Shongborton,training-b
b00040.png,3_0038.png,38,3,B101DB,Shongborton,training-b
b00041.png,3_0008.png,8,3,B101DB,Shongborton,training-b
b00042.png,2_0031.png,31,2,B101DB,Shongborton,training-b
b00043.png,6_0005.png,5,6,B101DB,Shongborton,training-b
b00044.png,9_0041.png,41,9,B101DB,Shongborton,training-b
b00045.png,2_0030.png,30,2,B101DB,Shongborton,training-b
b00046.png,7_0039.png,39,7,B101DB,Shongborton,training-b
b00047.png,4_0043.png,43,4,B101DB,Shongborton,training-b
b00048.png,1_0018.png,18,1,B101DB,Shongborton,training-b
b00049.png,0_0011.png,11,0,B101DB,Shongborton,training-b
b00050.png,1_0010.png,10,1,B101DB,Shongborton,training-b
b00051.png,6_0040.png,40,6,B101DB,Shongborton,training-b
b00052.png,1_0012.png,12,1,B101DB,Shongborton,training-b
b00053.png,6_0038.png,38,6,B101DB,Shongborton,training-b
b00054.png,0_0006.png,6,0,B101DB,Shongborton,training-b
b00055.png,4_0004.png,4,4,B101DB,Shongborton,training-b
b00056.png,1_0031.png,31,1,B101DB,Shongborton,training-b
b00057.png,8_0043.png,43,8,B101DB,Shongborton,training-b
b00058.png,3_0004.png,4,3,B101DB,Shongborton,training-b
b00059.png,0_0030.png,30,0,B101DB,Shongborton,training-b
b00060.png,3_0007.png,7,3,B101DB,Shongborton,training-b
b00061.png,3_0034.png,34,3,B101DB,Shongborton,training-b
b00062.png,5_0017.png,17,5,B101DB,Shongborton,training-b
b00063.png,1_0014.png,14,1,B101DB,Shongborton,training-b
b00064.png,2_0035.png,35,2,B101DB,Shongborton,training-b
b00065.png,7_0043.png,43,7,B101DB,Shongborton,training-b
b00066.png,0_0045.png,45,0,B101DB,Shongborton,training-b
b00067.png,2_0017.png,17,2,B101DB,Shongborton,training-b
b00068.png,4_0005.png,5,4,B101DB,Shongborton,training-b
b00069.png,3_0018.png,18,3,B101DB,Shongborton,training-b
b00070.png,8_0020.png,20,8,B101DB,Shongborton,training-b
b00071.png,7_0020.png,20,7,B101DB,Shongborton,training-b
b00072.png,1_0035.png,35,1,B101DB,Shongborton,training-b
b00073.png,0_0041.png,41,0,B101DB,Shongborton,training-b
b00074.png,8_0001.png,1,8,B101DB,Shongborton,training-b
b00075.png,5_0006.png,6,5,B101DB,Shongborton,training-b
b00076.png,5_0031.png,31,5,B101DB,Shongborton,training-b
b00077.png,4_0033.png,33,4,B101DB,Shongborton,training-b
b00078.png,9_0037.png,37,9,B101DB,Shongborton,training-b
b00079.png,7_0035.png,35,7,B101DB,Shongborton,training-b
b00080.png,4_0022.png,22,4,B101DB,Shongborton,training-b
b00081.png,9_0018.png,18,9,B101DB,Shongborton,training-b
b00082.png,0_0039.png,39,0,B101DB,Shongborton,training-b
b00083.png,3_0011.png,11,3,B101DB,Shongborton,training-b
b00084.png,5_0004.png,4,5,B101DB,Shongborton,training-b
b00085.png,2_0008.png,8,2,B101DB,Shongborton,training-b
b00086.png,8_0006.png,6,8,B101DB,Shongborton,training-b
b00087.png,7_0045.png,45,7,B101DB,Shongborton,training-b
b00088.png,5_0013.png,13,5,B101DB,Shongborton,training-b
b00089.png,5_0026.png,26,5,B101DB,Shongborton,training-b
b00090.png,2_0022.png,22,2,B101DB,Shongborton,training-b
b00091.png,7_0034.png,34,7,B101DB,Shongborton,training-b
b00092.png,6_0011.png,11,6,B101DB,Shongborton,training-b
b00093.png,8_0033.png,33,8,B101DB,Shongborton,training-b
b00094.png,5_0029.png,29,5,B101DB,Shongborton,training-b
b00095.png,0_0037.png,37,0,B101DB,Shongborton,training-b
b00096.png,8_0005.png,5,8,B101DB,Shongborton,training-b
b00097.png,6_0014.png,14,6,B101DB,Shongborton,training-b
b00098.png,8_0010.png,10,8,B101DB,Shongborton,training-b
b00099.png,4_0021.png,21,4,B101DB,Shongborton,training-b
b00100.png,2_0026.png,26,2,B101DB,Shongborton,training-b
